review_id,rating,date,author,content,raw_html,clean,tokens,categories,sent_score,date_parsed
                                <select class=""ui_selectbox"" id=""pageOrder"" title=""정렬 기준 선택"" name=""sortType"" data-change-value=""etc"" ui-modules=""Selectbox,CusomtSelectbox"" data-width-class=""f_wd_one"" style=""display: none;"">
                                    <option value=""recommand"">추천순</option>
                                    <option value=""recent"">최신순</option>
                                    <option value=""scoreDesc"">별점 높은순</option>
                                    <option value=""scoreAsc"">별점 낮은순</option>
                                </select><div class=""ui-selectbox-wrap""><div class=""ui-selectbox-view"" id=""cusomtSelectbox_79_button""><a href=""#0"" class=""ui-select-button"" title=""정렬 기준 선택 열기"" data-contents=""정렬 기준""><span class=""ui-select-text"">추천순</span><span class=""blind"">선택됨</span><span class=""ico""></span></a></div><div class=""ui-selectbox-list"" id=""cusomtSelectbox_79_menu"" style=""display: none;""><div class=""ui-select-scrollarea""><ul><li class=""on""><button type=""button"" class=""btn-sort-alert"" data-href=""#bestSortAlert"" data-control=""modal""><span class=""blind"">추천순 팝업</span></button><a href=""#1"" data-value=""recommand"" data-text=""추천순"" title=""추천순"">추천순<span class=""blind"">선택됨</span></a></li><li><a href=""#2"" data-value=""recent"" data-text=""최신순"" title=""최신순"">최신순</a></li><li><a href=""#3"" data-value=""scoreDesc"" data-text=""별점 높은순"" title=""별점 높은순"">별점 높은순</a></li><li><a href=""#4"" data-value=""scoreAsc"" data-text=""별점 낮은순"" title=""별점 낮은순"">별점 낮은순</a></li></ul></div><div class=""ui-select-scroll"" style=""top: 0px;""><span class=""bg_top""></span><span class=""bg_mid"" style=""""></span><span class=""bg_btm""></span></div></div></div>
                            </div>
                            <div class=""filter-wrap"">
                                <button type=""button"" data-href=""#reviewFilterLayer"" data-control=""modal"" class=""btn-rfilter"" onclick=""javascript:reviewFilterLayer.openLayer();""><span class=""blind"">필터</span></button>
                                <span class=""count"" style=""display:none"" id=""filterCount""><em class=""blind"">선택된 필터 개수</em>0</span><!-- BTOCSITE-81509 [웹앱 접근성 개선활동] PDP - 일반, 케어용품/소모품, 가전구독, UP가전2.0 -->
                            </div>
                        </div>
                    </div>
                    <div class=""product-review-wrap"">
                        
                        
                            
                        
                            
                        
                            
                        
                            
                                
                            
                        
                            
                        
                            
                        
                            
                        
                        
                            <div class=""rv-colorchip-wrap"">
                                <button type=""button"" class=""btn-reset"" onclick=""javascript:reviewFilterLayer.resetColorFilter();""><span class=""blind"">초기화</span></button>
                                <div class=""colorchip-list"" role=""radiogroup"" id=""optionList"">
                                    
                                        
                                    
                                        
                                    
                                        
                                    
                                        
                                            
                                            <span class=""chk-wrap-colorchip meta-gray"" title=""메타 그레이"">
                                                <input type=""checkbox"" id=""optionPage-4_OI0000000031_OV0000000819"" name=""optionPage"" tabindex=""-1"">
                                                <label for=""optionPage-4_OI0000000031_OV0000000819""><span class=""blind"">메타 그레이</span></label>
                                            </span>
                                            
                                            <span class=""chk-wrap-colorchip essence_white"" title=""에센스 화이트"">
                                                <input type=""checkbox"" id=""optionPage-4_OI0000000031_OV0000000121"" name=""optionPage"" tabindex=""-1"">
                                                <label for=""optionPage-4_OI0000000031_OV0000000121""><span class=""blind"">에센스 화이트</span></label>
                                            </span>
                                            
                                            <span class=""chk-wrap-colorchip obsidian_black"" title=""옵시디안 블랙"">
                                                <input type=""checkbox"" id=""optionPage-4_OI0000000031_OV0000000818"" name=""optionPage"" tabindex=""-1"">
                                                <label for=""optionPage-4_OI0000000031_OV0000000818""><span class=""blind"">옵시디안 블랙</span></label>
                                            </span>
                                            
                                            <span class=""chk-wrap-colorchip titan-blue"" title=""타이탄 블루"">
                                                <input type=""checkbox"" id=""optionPage-4_OI0000000031_OV0000000817"" name=""optionPage"" tabindex=""-1"">
