,뉴스제목,뉴스링크
141,시총 140조 추정 印릴라이언스지오 IPO 연기,https://zdnet.co.kr//view/?no=20250712124953
142,"""근육 키우려면 우주 가면 안 되요""",https://zdnet.co.kr//view/?no=20250711152304
143,펄펄 끓는 금성에 생명체가 있다고? [우주로 간다],https://zdnet.co.kr//view/?no=20250712071354
144,"네이버 ""소버린 AI는 현지화+자립""…韓 넘어 글로벌 확산 핵심 키워드로 '부상'",https://zdnet.co.kr//view/?no=20250712093920
145,"위메이드맥스, 신작 '악마단 돌겨억!'…구글 인기 1위 달성",https://zdnet.co.kr//view/?no=20250712102302
146,'보험금 준다는 걸까?'…AI가 해석해준다,https://zdnet.co.kr//view/?no=20250711085134
147,"스페이스린텍, 시리즈B 투자 유치… '메이드인 스페이스' 신약 개발 본격화",https://zdnet.co.kr//view/?no=20250712091336
148,"넥슨 '더 파이널스', e스포츠 대회 '코리아 내셔널 리그' 두 번째 서킷 대회 돌입",https://zdnet.co.kr//view/?no=20250711111651
149,가상자산 상승세에도...韓 시장 '역프' 지속,https://zdnet.co.kr//view/?no=20250712082410
150,인간이 만든 댐이 북극 위치 바꿨다,https://zdnet.co.kr//view/?no=20250712070812
151,"인스타 계정이 사라졌다...""즉각 복구, 국내 고객센터 설치"" 요구 빗발",https://zdnet.co.kr//view/?no=20250712070037
152,"[SW키트] ""AI가 고른 사이트만 생존""…'콘텐츠 노출 전쟁' 시작",https://zdnet.co.kr//view/?no=20250711212334
153,"""中 BOE, 아이폰17 프로 디스플레이 공급…중국 시장에만""",https://zdnet.co.kr//view/?no=20250711165931
154,"""AI가 오히려 숙련 개발자 작업 속도 19% 늦췄다""",https://zdnet.co.kr//view/?no=20250711220851
155,"컴투스, 하반기 '하이브리드' 신작 2종 통해 글로벌 팬덤 '정조준'",https://zdnet.co.kr//view/?no=20250711221843
156,"내란특검 ""윤석열 14일 출석 통보...건강상 문제 없다""",https://zdnet.co.kr//view/?no=20250712063008
157,"위메이드, '미르2' 저작권 분쟁 파기환송심 승소",https://zdnet.co.kr//view/?no=20250711215807
158,"로브로스, 40억원 프리A 투자 유치",https://zdnet.co.kr//view/?no=20250711205726
