rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency,year
20190401004344,11011,2018,00401731,066570,CFS,연결재무제표,BS,재무상태표,유동자산,제 17 기,2018.12.31 현재,"19,362,854,000,000",제 16 기,2017.12.31 현재,"19,194,969,000,000",제 15 기,2016.12.31 현재,"16,990,563,000,000",1,KRW,2018
20190401004344,11011,2018,00401731,066570,CFS,연결재무제표,BS,재무상태표,비유동자산,제 17 기,2018.12.31 현재,"24,965,589,000,000",제 16 기,2017.12.31 현재,"22,025,990,000,000",제 15 기,2016.12.31 현재,"20,864,706,000,000",3,KRW,2018
20190401004344,11011,2018,00401731,066570,CFS,연결재무제표,BS,재무상태표,자산총계,제 17 기,2018.12.31 현재,"44,328,443,000,000",제 16 기,2017.12.31 현재,"41,220,959,000,000",제 15 기,2016.12.31 현재,"37,855,269,000,000",5,KRW,2018
20190401004344,11011,2018,00401731,066570,CFS,연결재무제표,BS,재무상태표,유동부채,제 17 기,2018.12.31 현재,"17,135,029,000,000",제 16 기,2017.12.31 현재,"17,536,470,000,000",제 15 기,2016.12.31 현재,"15,744,364,000,000",7,KRW,2018
20190401004344,11011,2018,00401731,066570,CFS,연결재무제표,BS,재무상태표,비유동부채,제 17 기,2018.12.31 현재,"10,886,507,000,000",제 16 기,2017.12.31 현재,"9,010,805,000,000",제 15 기,2016.12.31 현재,"8,754,163,000,000",9,KRW,2018
20190401004344,11011,2018,00401731,066570,CFS,연결재무제표,BS,재무상태표,부채총계,제 17 기,2018.12.31 현재,"28,021,536,000,000",제 16 기,2017.12.31 현재,"26,547,275,000,000",제 15 기,2016.12.31 현재,"24,498,527,000,000",11,KRW,2018
20190401004344,11011,2018,00401731,066570,CFS,연결재무제표,BS,재무상태표,자본금,제 17 기,2018.12.31 현재,"904,169,000,000",제 16 기,2017.12.31 현재,"904,169,000,000",제 15 기,2016.12.31 현재,"904,169,000,000",13,KRW,2018
20190401004344,11011,2018,00401731,066570,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 17 기,2018.12.31 현재,"12,075,414,000,000",제 16 기,2017.12.31 현재,"10,964,155,000,000",제 15 기,2016.12.31 현재,"9,233,416,000,000",17,KRW,2018
20190401004344,11011,2018,00401731,066570,CFS,연결재무제표,BS,재무상태표,자본총계,제 17 기,2018.12.31 현재,"16,306,907,000,000",제 16 기,2017.12.31 현재,"14,673,684,000,000",제 15 기,2016.12.31 현재,"13,356,742,000,000",21,KRW,2018
20190401004344,11011,2018,00401731,066570,CFS,연결재무제표,IS,손익계산서,매출액,제 17 기,2018.01.01 ~ 2018.12.31,"61,341,664,000,000",제 16 기,2017.01.01 ~ 2017.12.31,"61,396,284,000,000",제 15 기,2016.01.01 ~ 2016.12.31,"55,367,033,000,000",23,KRW,2018
20190401004344,11011,2018,00401731,066570,CFS,연결재무제표,IS,손익계산서,영업이익,제 17 기,2018.01.01 ~ 2018.12.31,"2,703,291,000,000",제 16 기,2017.01.01 ~ 2017.12.31,"2,468,549,000,000",제 15 기,2016.01.01 ~ 2016.12.31,"1,337,763,000,000",25,KRW,2018
20190401004344,11011,2018,00401731,066570,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 17 기,2018.01.01 ~ 2018.12.31,"2,008,575,000,000",제 16 기,2017.01.01 ~ 2017.12.31,"2,558,112,000,000",제 15 기,2016.01.01 ~ 2016.12.31,"721,717,000,000",27,KRW,2018
20190401004344,11011,2018,00401731,066570,CFS,연결재무제표,IS,손익계산서,당기순이익,제 17 기,2018.01.01 ~ 2018.12.31,"1,472,814,000,000",제 16 기,2017.01.01 ~ 2017.12.31,"1,869,518,000,000",제 15 기,2016.01.01 ~ 2016.12.31,"126,315,000,000",29,KRW,2018
20190401004344,11011,2018,00401731,066570,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 17 기,2018.01.01 ~ 2018.12.31,"1,472,814,000,000",제 16 기,2017.01.01 ~ 2017.12.31,"1,869,518,000,000",제 15 기,2016.01.01 ~ 2016.12.31,"126,315,000,000",61,KRW,2018
