term,count,share
사용하여,16,0.00027159613654495767
가끔,16,0.00027159613654495767
살짝,16,0.00027159613654495767
수있을,16,0.00027159613654495767
점은,16,0.00027159613654495767
사람이,15,0.00025462137801089777
장단점을,15,0.00025462137801089777
눈에,15,0.00025462137801089777
plus,15,0.00025462137801089777
품질은,15,0.00025462137801089777
자세히,15,0.00025462137801089777
thinkpad,15,0.00025462137801089777
고민을,15,0.00025462137801089777
있었다,15,0.00025462137801089777
ssd를,15,0.00025462137801089777
유로입니다,15,0.00025462137801089777
자체,15,0.00025462137801089777
했지만,15,0.00025462137801089777
데이터를,15,0.00025462137801089777
기존,15,0.00025462137801089777
고침,15,0.00025462137801089777
좋을,15,0.00025462137801089777
싶지,15,0.00025462137801089777
스크린,15,0.00025462137801089777
제일,15,0.00025462137801089777
있음,15,0.00025462137801089777
surface,15,0.00025462137801089777
hz,15,0.00025462137801089777
장치는,15,0.00025462137801089777
아무,15,0.00025462137801089777
하지,15,0.00025462137801089777
helios,15,0.00025462137801089777
보이는,15,0.00025462137801089777
등등,15,0.00025462137801089777
기준,15,0.00025462137801089777
생각,15,0.00025462137801089777
개봉,15,0.00025462137801089777
기기,15,0.00025462137801089777
파일,15,0.00025462137801089777
자꾸,15,0.00025462137801089777
유지,15,0.00025462137801089777
정도의,15,0.00025462137801089777
사진을,15,0.00025462137801089777
15인치,15,0.00025462137801089777
포트,15,0.00025462137801089777
느린,15,0.00025462137801089777
edition,15,0.00025462137801089777
만족스럽습니다,15,0.00025462137801089777
사용하면,15,0.00025462137801089777
포토샵,14,0.00023764661947683793
쓰다가,14,0.00023764661947683793
비하면,14,0.00023764661947683793
좋지,14,0.00023764661947683793
집에서,14,0.00023764661947683793
말이,14,0.00023764661947683793
필요가,14,0.00023764661947683793
쓰기,14,0.00023764661947683793
도움이,14,0.00023764661947683793
그런지,14,0.00023764661947683793
3d,14,0.00023764661947683793
스크린이,14,0.00023764661947683793
랩톱에서,14,0.00023764661947683793
말하는,14,0.00023764661947683793
ram과,14,0.00023764661947683793
생각하고,14,0.00023764661947683793
좋았습니다,14,0.00023764661947683793
갤럭시북,14,0.00023764661947683793
커서,14,0.00023764661947683793
플러스,14,0.00023764661947683793
있을,14,0.00023764661947683793
오늘은,14,0.00023764661947683793
주택을,14,0.00023764661947683793
무슨,14,0.00023764661947683793
얼마나,14,0.00023764661947683793
가능한,14,0.00023764661947683793
xe,14,0.00023764661947683793
그들은,14,0.00023764661947683793
대신,14,0.00023764661947683793
에어,14,0.00023764661947683793
원활하게,14,0.00023764661947683793
보니까,14,0.00023764661947683793
썬더볼트,14,0.00023764661947683793
설치할,14,0.00023764661947683793
사고,14,0.00023764661947683793
보는,14,0.00023764661947683793
하드,14,0.00023764661947683793
예산에,14,0.00023764661947683793
book5,14,0.00023764661947683793
모르는,14,0.00023764661947683793
제외하고는,14,0.00023764661947683793
별로,14,0.00023764661947683793
신제품,14,0.00023764661947683793
하더라구요,14,0.00023764661947683793
16인치를,14,0.00023764661947683793
이전,14,0.00023764661947683793
확인하고,14,0.00023764661947683793
해야,14,0.00023764661947683793
포함,14,0.00023764661947683793
쿠팡에서,13,0.0002206718609427781
pro에는,13,0.0002206718609427781
m2,13,0.0002206718609427781
휴대용,13,0.0002206718609427781
감사합니다,13,0.0002206718609427781
완전,13,0.0002206718609427781
샀는데,13,0.0002206718609427781
